ship_mode,segment,country,city,state,postal_code,region,category,sub-category,sales,quantity,discount,profit,profit_margin,outlier_column
Standard Class,Corporate,United States,Springfield,Virginia,22153.0,South,Furniture,Chairs,1059.12,4.0,0.0,307.1448,0.29,sales
Standard Class,Corporate,United States,Franklin,Wisconsin,53132.0,Central,Furniture,Bookcases,1565.88,6.0,0.0,407.1288,0.26,sales
Standard Class,Corporate,United States,Los Angeles,California,90004.0,West,Furniture,Tables,2887.056,9.0,0.2,180.441,0.0625,sales
Standard Class,Consumer,United States,Chesapeake,Virginia,23320.0,South,Furniture,Tables,1652.94,3.0,0.0,314.0586,0.19,sales
Second Class,Home Office,United States,Seattle,Washington,98105.0,West,Furniture,Chairs,2003.92,5.0,0.2,125.245,0.0625,sales
Second Class,Home Office,United States,Seattle,Washington,98105.0,West,Furniture,Tables,1913.4,9.0,0.0,401.814,0.21,sales
Standard Class,Consumer,United States,Minneapolis,Minnesota,55407.0,Central,Furniture,Chairs,2567.84,8.0,0.0,770.352,0.3,sales
Second Class,Consumer,United States,Naperville,Illinois,60540.0,Central,Furniture,Chairs,602.651,7.0,0.3,-163.5767,-0.2714285714285714,sales
Standard Class,Home Office,United States,New York City,New York,10009.0,East,Technology,Accessories,559.93,7.0,0.0,167.979,0.30000000000000004,sales
Same Day,Corporate,United States,Huntington Beach,California,92646.0,West,Technology,Copiers,2399.96,5.0,0.2,839.986,0.35,sales
Standard Class,Consumer,United States,Seattle,Washington,98103.0,West,Technology,Phones,1001.584,2.0,0.2,125.198,0.125,sales
Standard Class,Corporate,United States,Sacramento,California,95823.0,West,Furniture,Chairs,1403.92,5.0,0.2,70.196,0.049999999999999996,sales
Standard Class,Consumer,United States,New York City,New York,10035.0,East,Furniture,Bookcases,681.408,12.0,0.2,42.588,0.0625,sales
Second Class,Consumer,United States,San Francisco,California,94109.0,West,Technology,Phones,862.344,7.0,0.2,97.0137,0.11249999999999999,sales
Standard Class,Corporate,United States,New York City,New York,10009.0,East,Office Supplies,Storage,713.88,4.0,0.0,214.164,0.3,sales
Standard Class,Consumer,United States,Los Angeles,California,90032.0,West,Technology,Phones,623.96,5.0,0.2,38.9975,0.0625,sales
Standard Class,Consumer,United States,New York City,New York,10011.0,East,Furniture,Bookcases,523.92,5.0,0.2,-26.196,-0.05000000000000001,sales
First Class,Consumer,United States,Los Angeles,California,90008.0,West,Technology,Phones,503.96,5.0,0.2,50.396,0.1,sales
Second Class,Corporate,United States,New York City,New York,10011.0,East,Technology,Phones,824.97,3.0,0.0,214.4922,0.26,sales
Standard Class,Corporate,United States,Gilbert,Arizona,85234.0,West,Furniture,Furnishings,621.76,4.0,0.2,46.632,0.075,sales
Second Class,Corporate,United States,Fort Lauderdale,Florida,33311.0,South,Office Supplies,Appliances,1158.12,5.0,0.2,130.2885,0.11250000000000002,sales
Standard Class,Corporate,United States,Springfield,Ohio,45503.0,East,Furniture,Chairs,598.458,3.0,0.3,-42.747,-0.07142857142857144,sales
Second Class,Corporate,United States,Richmond,Kentucky,40475.0,South,Technology,Phones,587.97,3.0,0.0,164.6316,0.27999999999999997,sales
Standard Class,Corporate,United States,San Diego,California,92105.0,West,Furniture,Chairs,523.392,3.0,0.2,52.3392,0.09999999999999999,sales
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19134.0,East,Technology,Copiers,599.97,5.0,0.4,69.9965,0.11666666666666665,sales
Same Day,Consumer,United States,Anaheim,California,92804.0,West,Furniture,Tables,892.136,7.0,0.2,111.517,0.125,sales
First Class,Corporate,United States,Los Angeles,California,90008.0,West,Office Supplies,Storage,1261.33,7.0,0.0,327.9458,0.26,sales
Standard Class,Consumer,United States,Charlotte,North Carolina,28205.0,South,Technology,Accessories,1012.68,3.0,0.2,303.804,0.3,sales
Second Class,Corporate,United States,Concord,California,94521.0,West,Technology,Phones,1626.192,9.0,0.2,121.9644,0.075,sales
Second Class,Corporate,United States,Newark,Ohio,43055.0,East,Furniture,Chairs,760.116,6.0,0.3,-43.4352,-0.05714285714285715,sales
First Class,Corporate,United States,Henderson,Nevada,89015.0,West,Furniture,Tables,1685.88,6.0,0.0,320.3172,0.19,sales
Standard Class,Home Office,United States,Richmond,Indiana,47374.0,Central,Technology,Phones,1879.96,4.0,0.0,545.1884,0.29,sales
Standard Class,Home Office,United States,Richmond,Indiana,47374.0,Central,Furniture,Chairs,828.6,3.0,0.0,240.294,0.29,sales
Standard Class,Home Office,United States,Philadelphia,Pennsylvania,19140.0,East,Technology,Phones,776.85,5.0,0.4,-181.265,-0.2333333333333333,sales
Standard Class,Consumer,United States,Houston,Texas,77070.0,Central,Technology,Phones,971.88,3.0,0.2,109.3365,0.1125,sales
Second Class,Consumer,United States,San Francisco,California,94122.0,West,Furniture,Chairs,717.72,3.0,0.2,71.772,0.1,sales
Standard Class,Corporate,United States,Houston,Texas,77070.0,Central,Technology,Copiers,2399.96,5.0,0.2,569.9905,0.2375,sales
First Class,Consumer,United States,Baltimore,Maryland,21215.0,East,Furniture,Chairs,908.82,9.0,0.0,227.205,0.25,sales
First Class,Home Office,United States,San Diego,California,92024.0,West,Furniture,Tables,674.352,3.0,0.2,-8.4294,-0.012499999999999999,sales
First Class,Consumer,United States,Atlanta,Georgia,30318.0,South,Office Supplies,Storage,1350.12,6.0,0.0,175.5156,0.13,sales
Same Day,Corporate,United States,Rochester,New York,14609.0,East,Furniture,Furnishings,756.8,5.0,0.0,75.68,0.10000000000000002,sales
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19134.0,East,Technology,Accessories,1319.8,5.0,0.2,214.4675,0.1625,sales
Second Class,Consumer,United States,Philadelphia,Pennsylvania,19134.0,East,Furniture,Chairs,4416.174,9.0,0.3,-630.882,-0.14285714285714285,sales
Second Class,Consumer,United States,Los Angeles,California,90008.0,West,Technology,Accessories,989.97,3.0,0.0,395.988,0.39999999999999997,sales
Standard Class,Home Office,United States,Superior,Wisconsin,54880.0,Central,Office Supplies,Paper,629.1,6.0,0.0,301.968,0.48000000000000004,sales
Standard Class,Home Office,United States,Fort Lauderdale,Florida,33311.0,South,Technology,Accessories,799.92,10.0,0.2,239.976,0.3,sales
Standard Class,Consumer,United States,Columbia,Maryland,21044.0,East,Office Supplies,Binders,2541.98,2.0,0.0,1270.99,0.5,sales
Standard Class,Home Office,United States,Yuma,Arizona,85364.0,West,Technology,Machines,599.985,5.0,0.7,-479.988,-0.7999999999999999,sales
Standard Class,Corporate,United States,Houston,Texas,77095.0,Central,Technology,Machines,559.71,3.0,0.4,-121.2705,-0.21666666666666665,sales
Standard Class,Consumer,United States,Nashville,Tennessee,37211.0,South,Technology,Machines,649.0,2.0,0.5,-272.58,-0.42,sales
Standard Class,Consumer,United States,Plano,Texas,75023.0,Central,Furniture,Tables,890.841,3.0,0.3,-152.7156,-0.17142857142857143,sales
Second Class,Consumer,United States,New York City,New York,10009.0,East,Technology,Phones,979.95,5.0,0.0,264.5865,0.26999999999999996,sales
Standard Class,Home Office,United States,Burbank,California,91505.0,West,Technology,Machines,1279.968,4.0,0.2,415.9896,0.32499999999999996,sales
Standard Class,Home Office,United States,Burbank,California,91505.0,West,Office Supplies,Storage,1856.19,7.0,0.0,334.1142,0.18,sales
Standard Class,Consumer,United States,New York City,New York,10024.0,East,Technology,Accessories,843.9,2.0,0.0,371.316,0.44,sales
Standard Class,Corporate,United States,Jacksonville,Florida,32216.0,South,Furniture,Tables,721.875,6.0,0.45,-420.0,-0.5818181818181818,sales
Second Class,Corporate,United States,Philadelphia,Pennsylvania,19143.0,East,Furniture,Tables,523.764,3.0,0.4,-192.0468,-0.36666666666666664,sales
Standard Class,Consumer,United States,Omaha,Nebraska,68104.0,Central,Furniture,Furnishings,1336.44,14.0,0.0,387.5676,0.29000000000000004,sales
Standard Class,Corporate,United States,New York City,New York,10024.0,East,Furniture,Chairs,866.646,3.0,0.1,173.3292,0.19999999999999998,sales
Same Day,Corporate,United States,Fairfield,Ohio,45014.0,East,Office Supplies,Appliances,795.408,6.0,0.2,59.6556,0.075,sales
Standard Class,Corporate,United States,Camarillo,California,93010.0,West,Furniture,Bookcases,509.9575,5.0,0.15,41.9965,0.08235294117647059,sales
Standard Class,Corporate,United States,Camarillo,California,93010.0,West,Furniture,Chairs,722.352,3.0,0.2,81.2646,0.1125,sales
Second Class,Corporate,United States,Philadelphia,Pennsylvania,19134.0,East,Technology,Phones,539.91,3.0,0.4,-116.9805,-0.2166666666666667,sales
Second Class,Corporate,United States,Philadelphia,Pennsylvania,19134.0,East,Office Supplies,Storage,552.56,5.0,0.2,-138.14,-0.25,sales
Second Class,Home Office,United States,Houston,Texas,77036.0,Central,Technology,Phones,1415.76,6.0,0.2,88.485,0.0625,sales
Standard Class,Consumer,United States,Chicago,Illinois,60623.0,Central,Office Supplies,Storage,1036.624,2.0,0.2,51.8312,0.05,sales
First Class,Consumer,United States,Waynesboro,Virginia,22980.0,South,Technology,Phones,569.64,2.0,0.0,148.1064,0.26,sales
First Class,Consumer,United States,Waynesboro,Virginia,22980.0,South,Furniture,Furnishings,1196.86,7.0,0.0,119.686,0.10000000000000002,sales
First Class,Consumer,United States,Waynesboro,Virginia,22980.0,South,Furniture,Bookcases,523.26,9.0,0.0,125.5824,0.24000000000000002,sales
Second Class,Consumer,United States,Los Angeles,California,90004.0,West,Technology,Copiers,639.968,4.0,0.2,215.9892,0.3375,sales
Second Class,Consumer,United States,Seattle,Washington,98105.0,West,Technology,Accessories,538.92,9.0,0.0,80.838,0.15,sales
First Class,Home Office,United States,Lehi,Utah,84043.0,West,Technology,Copiers,1499.95,5.0,0.0,449.985,0.3,sales
Standard Class,Home Office,United States,Henderson,Kentucky,42420.0,South,Furniture,Chairs,2573.82,9.0,0.0,746.4078,0.29,sales
Standard Class,Home Office,United States,Henderson,Kentucky,42420.0,South,Office Supplies,Binders,609.98,2.0,0.0,274.491,0.44999999999999996,sales
Standard Class,Home Office,United States,Henderson,Kentucky,42420.0,South,Technology,Phones,755.96,4.0,0.0,204.1092,0.26999999999999996,sales
Second Class,Home Office,United States,Dover,New Hampshire,3820.0,East,Technology,Accessories,2249.91,9.0,0.0,517.4793,0.23,sales
Second Class,Home Office,United States,Dover,New Hampshire,3820.0,East,Furniture,Tables,1053.164,4.0,0.3,-105.3164,-0.1,sales
Standard Class,Consumer,United States,Houston,Texas,77070.0,Central,Furniture,Tables,512.19,5.0,0.3,-65.853,-0.12857142857142856,sales
Standard Class,Consumer,United States,Columbus,Ohio,43229.0,East,Technology,Phones,1889.946,9.0,0.4,-377.9892,-0.2,sales
Second Class,Consumer,United States,Richmond,Kentucky,40475.0,South,Technology,Copiers,1399.98,2.0,0.0,629.991,0.45,sales
Standard Class,Consumer,United States,Gresham,Oregon,97030.0,West,Furniture,Chairs,1487.04,5.0,0.2,148.704,0.1,sales
Same Day,Corporate,United States,San Francisco,California,94109.0,West,Office Supplies,Binders,931.176,3.0,0.2,314.2719,0.3375,sales
Standard Class,Corporate,United States,Denver,Colorado,80219.0,West,Furniture,Furnishings,508.704,6.0,0.2,0.0,0.0,sales
Standard Class,Corporate,United States,Denver,Colorado,80219.0,West,Furniture,Chairs,906.68,5.0,0.2,68.001,0.07500000000000001,sales
Standard Class,Corporate,United States,Huntsville,Texas,77340.0,Central,Technology,Phones,719.952,6.0,0.2,71.9952,0.09999999999999999,sales
Standard Class,Corporate,United States,Huntsville,Texas,77340.0,Central,Technology,Phones,755.944,7.0,0.2,66.1451,0.08750000000000001,sales
Standard Class,Corporate,United States,New York City,New York,10024.0,East,Technology,Phones,833.94,6.0,0.0,216.8244,0.25999999999999995,sales
Standard Class,Consumer,United States,Long Beach,New York,11561.0,East,Office Supplies,Appliances,533.94,3.0,0.0,154.8426,0.29,sales
Standard Class,Corporate,United States,Newport News,Virginia,23602.0,South,Furniture,Tables,591.32,4.0,0.0,112.3508,0.19,sales
First Class,Home Office,United States,Omaha,Nebraska,68104.0,Central,Furniture,Chairs,563.94,3.0,0.0,112.788,0.19999999999999998,sales
Second Class,Consumer,United States,Morristown,New Jersey,7960.0,East,Office Supplies,Appliances,2625.12,8.0,0.0,735.0336,0.28,sales
Standard Class,Corporate,United States,Springfield,Virginia,22153.0,South,Technology,Phones,3499.93,7.0,0.0,909.9818,0.26,sales
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19134.0,East,Furniture,Chairs,887.271,3.0,0.3,-63.3765,-0.07142857142857144,sales
Standard Class,Consumer,United States,Chicago,Illinois,60623.0,Central,Office Supplies,Storage,1297.368,9.0,0.2,97.3026,0.075,sales
Standard Class,Consumer,United States,Watertown,New York,13601.0,East,Office Supplies,Binders,679.96,5.0,0.2,220.987,0.32499999999999996,sales
Standard Class,Consumer,United States,Los Angeles,California,90004.0,West,Technology,Phones,539.92,5.0,0.2,47.243,0.08750000000000001,sales
Standard Class,Consumer,United States,Los Angeles,California,90004.0,West,Furniture,Chairs,725.344,4.0,0.2,54.4008,0.07499999999999998,sales
Second Class,Home Office,United States,Detroit,Michigan,48234.0,Central,Office Supplies,Appliances,850.5,5.0,0.1,245.7,0.28888888888888886,sales
Second Class,Consumer,United States,Louisville,Kentucky,40214.0,South,Furniture,Chairs,1207.84,8.0,0.0,314.0384,0.26000000000000006,sales
First Class,Home Office,United States,Pueblo,Colorado,81001.0,West,Technology,Machines,703.71,6.0,0.7,-938.28,-1.3333333333333333,sales
Standard Class,Corporate,United States,Los Angeles,California,90036.0,West,Furniture,Chairs,892.224,3.0,0.2,89.2224,0.09999999999999999,sales
Standard Class,Consumer,United States,Greenville,North Carolina,27834.0,South,Technology,Machines,1299.99,2.0,0.5,-571.9956,-0.43999999999999995,sales
First Class,Corporate,United States,San Francisco,California,94110.0,West,Furniture,Chairs,1352.032,4.0,0.2,84.502,0.0625,sales
Standard Class,Corporate,United States,Marion,Ohio,43302.0,East,Furniture,Tables,1548.99,9.0,0.4,-464.697,-0.3,sales
Standard Class,Home Office,United States,Providence,Rhode Island,2908.0,East,Technology,Copiers,5399.91,9.0,0.0,2591.9568,0.48,sales
Standard Class,Home Office,United States,Providence,Rhode Island,2908.0,East,Technology,Accessories,1687.8,4.0,0.0,742.632,0.44,sales
Standard Class,Home Office,United States,Providence,Rhode Island,2908.0,East,Furniture,Chairs,605.88,6.0,0.0,151.47,0.25,sales
First Class,Home Office,United States,Midland,Michigan,48640.0,Central,Office Supplies,Binders,3812.97,3.0,0.0,1906.485,0.5,sales
Standard Class,Consumer,United States,Rochester,New York,14609.0,East,Technology,Phones,625.99,1.0,0.0,187.797,0.3,sales
Standard Class,Corporate,United States,Jackson,Michigan,49201.0,Central,Furniture,Tables,1568.61,9.0,0.0,329.4081,0.21000000000000002,sales
First Class,Corporate,United States,Suffolk,Virginia,23434.0,South,Furniture,Tables,872.94,3.0,0.0,157.1292,0.18,sales
Standard Class,Home Office,United States,Lawrence,Massachusetts,1841.0,East,Technology,Copiers,1199.98,2.0,0.0,467.9922,0.39,sales
Standard Class,Home Office,United States,Lawrence,Massachusetts,1841.0,East,Furniture,Tables,526.582,2.0,0.3,-52.6582,-0.1,sales
Standard Class,Corporate,United States,Waterbury,Connecticut,6708.0,East,Technology,Phones,566.97,3.0,0.0,153.0819,0.26999999999999996,sales
Same Day,Corporate,United States,Columbia,Maryland,21044.0,East,Furniture,Chairs,1779.9,5.0,0.0,373.779,0.21,sales
Same Day,Corporate,United States,Riverside,California,92503.0,West,Technology,Phones,1039.728,2.0,0.2,90.9762,0.0875,sales
Standard Class,Consumer,United States,Lancaster,Ohio,43130.0,East,Technology,Machines,4499.985,5.0,0.7,-6599.978,-1.4666666666666668,sales
Second Class,Corporate,United States,Charlotte,North Carolina,28205.0,South,Furniture,Tables,876.3,10.0,0.4,-292.1,-0.33333333333333337,sales
Standard Class,Home Office,United States,Franklin,Tennessee,37064.0,South,Office Supplies,Storage,720.064,4.0,0.2,-63.0056,-0.08750000000000001,sales
First Class,Consumer,United States,Clinton,Maryland,20735.0,East,Furniture,Tables,550.431,3.0,0.3,-47.1798,-0.08571428571428572,sales
First Class,Home Office,United States,Los Angeles,California,90049.0,West,Furniture,Bookcases,1497.666,2.0,0.15,140.9568,0.09411764705882353,sales
Second Class,Home Office,United States,North Las Vegas,Nevada,89031.0,West,Office Supplies,Binders,4535.976,3.0,0.2,1644.2913,0.36250000000000004,sales
Second Class,Home Office,United States,Cranston,Rhode Island,2920.0,East,Office Supplies,Storage,592.74,6.0,0.0,160.0398,0.27,sales
Standard Class,Corporate,United States,Chicago,Illinois,60610.0,Central,Technology,Phones,508.768,4.0,0.2,38.1576,0.07500000000000001,sales
Standard Class,Consumer,United States,Des Moines,Iowa,50315.0,Central,Furniture,Tables,1184.72,4.0,0.0,106.6248,0.09,sales
Standard Class,Consumer,United States,Arlington,Virginia,22204.0,South,Technology,Phones,1871.88,12.0,0.0,561.564,0.3,sales
Standard Class,Home Office,United States,Lake Forest,California,92630.0,West,Furniture,Chairs,915.136,4.0,0.2,102.9528,0.1125,sales
Standard Class,Consumer,United States,Memphis,Tennessee,38109.0,South,Office Supplies,Binders,1614.582,6.0,0.7,-1237.8462,-0.7666666666666666,sales
First Class,Corporate,United States,San Francisco,California,94122.0,West,Office Supplies,Appliances,715.64,2.0,0.0,178.91,0.25,sales
Standard Class,Home Office,United States,New York City,New York,10024.0,East,Technology,Machines,3404.5,5.0,0.0,1668.205,0.49,sales
Second Class,Corporate,United States,New York City,New York,10035.0,East,Technology,Phones,569.99,1.0,0.0,170.997,0.30000000000000004,sales
Standard Class,Corporate,United States,Brentwood,California,94513.0,West,Office Supplies,Appliances,2518.29,9.0,0.0,654.7554,0.26,sales
Standard Class,Corporate,United States,Brentwood,California,94513.0,West,Office Supplies,Storage,540.57,3.0,0.0,140.5482,0.26,sales
Standard Class,Consumer,United States,New York City,New York,10035.0,East,Technology,Phones,861.76,4.0,0.0,249.9104,0.29000000000000004,sales
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19134.0,East,Technology,Phones,519.792,4.0,0.4,-112.6216,-0.21666666666666665,sales
Standard Class,Consumer,United States,Jackson,Mississippi,39212.0,South,Technology,Phones,659.97,3.0,0.0,197.991,0.3,sales
First Class,Home Office,United States,San Diego,California,92037.0,West,Furniture,Tables,1673.184,12.0,0.2,20.9148,0.0125,sales
Standard Class,Consumer,United States,Oklahoma City,Oklahoma,73120.0,Central,Office Supplies,Storage,541.24,4.0,0.0,5.4124,0.01,sales
Standard Class,Consumer,United States,Oklahoma City,Oklahoma,73120.0,Central,Furniture,Chairs,1323.9,5.0,0.0,383.931,0.29,sales
Same Day,Consumer,United States,New York City,New York,10009.0,East,Office Supplies,Binders,663.92,5.0,0.2,207.475,0.3125,sales
Standard Class,Corporate,United States,Dallas,Texas,75217.0,Central,Furniture,Chairs,657.93,5.0,0.3,-93.99,-0.14285714285714285,sales
Second Class,Corporate,United States,New York City,New York,10035.0,East,Office Supplies,Storage,772.68,4.0,0.0,108.1752,0.14,sales
Second Class,Corporate,United States,Seattle,Washington,98115.0,West,Office Supplies,Storage,572.58,6.0,0.0,34.3548,0.05999999999999999,sales
Standard Class,Corporate,United States,New York City,New York,10035.0,East,Office Supplies,Appliances,706.86,7.0,0.0,197.9208,0.28,sales
Standard Class,Consumer,United States,Los Angeles,California,90049.0,West,Office Supplies,Storage,892.35,5.0,0.0,267.705,0.3,sales
Standard Class,Consumer,United States,Los Angeles,California,90049.0,West,Office Supplies,Storage,728.82,9.0,0.0,29.1528,0.039999999999999994,sales
Standard Class,Corporate,United States,Springfield,Oregon,97477.0,West,Office Supplies,Storage,718.64,10.0,0.2,-161.694,-0.22499999999999998,sales
First Class,Home Office,United States,Los Angeles,California,90045.0,West,Technology,Machines,3357.6,3.0,0.2,377.73,0.1125,sales
Standard Class,Consumer,United States,Los Angeles,California,90045.0,West,Technology,Machines,2973.32,7.0,0.2,334.4985,0.11249999999999999,sales
Standard Class,Consumer,United States,Los Angeles,California,90045.0,West,Technology,Phones,775.728,6.0,0.2,58.1796,0.07500000000000001,sales
Standard Class,Consumer,United States,Chicago,Illinois,60653.0,Central,Furniture,Chairs,526.344,4.0,0.3,-75.192,-0.14285714285714282,sales
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19134.0,East,Technology,Copiers,1079.976,4.0,0.4,125.9972,0.11666666666666665,sales
Standard Class,Consumer,United States,Houston,Texas,77070.0,Central,Office Supplies,Storage,670.752,3.0,0.2,-125.766,-0.18750000000000003,sales
First Class,Corporate,United States,Riverside,California,92503.0,West,Office Supplies,Storage,535.41,3.0,0.0,160.623,0.3,sales
Standard Class,Corporate,United States,Lakeland,Florida,33801.0,South,Furniture,Tables,562.2925,7.0,0.45,-255.5875,-0.45454545454545453,sales
Standard Class,Consumer,United States,San Diego,California,92037.0,West,Furniture,Tables,557.728,4.0,0.2,6.9716,0.0125,sales
First Class,Consumer,United States,Seattle,Washington,98115.0,West,Technology,Copiers,13999.96,4.0,0.0,6719.9808,0.48000000000000004,sales
Standard Class,Consumer,United States,San Diego,California,92105.0,West,Technology,Accessories,595.0,5.0,0.0,95.2,0.16,sales
Standard Class,Consumer,United States,San Diego,California,92105.0,West,Furniture,Bookcases,512.499,3.0,0.15,-30.147,-0.0588235294117647,sales
Standard Class,Corporate,United States,San Francisco,California,94122.0,West,Furniture,Tables,863.128,7.0,0.2,-32.3673,-0.0375,sales
Standard Class,Home Office,United States,Seattle,Washington,98105.0,West,Furniture,Tables,2036.86,7.0,0.0,366.6348,0.18,sales
Standard Class,Consumer,United States,Des Moines,Washington,98198.0,West,Technology,Copiers,999.98,2.0,0.0,449.991,0.44999999999999996,sales
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19120.0,East,Furniture,Tables,1252.704,8.0,0.4,-480.2032,-0.38333333333333336,sales
Same Day,Corporate,United States,New York City,New York,10024.0,East,Technology,Phones,549.98,2.0,0.0,142.9948,0.26,sales
Same Day,Corporate,United States,New York City,New York,10024.0,East,Technology,Machines,4643.8,4.0,0.0,2229.024,0.48,sales
Same Day,Corporate,United States,New York City,New York,10024.0,East,Furniture,Chairs,577.764,2.0,0.1,115.5528,0.2,sales
Standard Class,Consumer,United States,Nashville,Tennessee,37211.0,South,Office Supplies,Binders,1369.764,6.0,0.7,-913.176,-0.6666666666666667,sales
Second Class,Consumer,United States,Sandy Springs,Georgia,30328.0,South,Furniture,Bookcases,1266.86,7.0,0.0,291.3778,0.23,sales
Standard Class,Consumer,United States,Jacksonville,Florida,32216.0,South,Furniture,Tables,933.262,4.0,0.45,-458.1468,-0.4909090909090909,sales
Standard Class,Consumer,United States,Jacksonville,Florida,32216.0,South,Furniture,Chairs,2803.92,5.0,0.2,0.0,0.0,sales
Standard Class,Consumer,United States,San Francisco,California,94122.0,West,Technology,Phones,806.336,8.0,0.2,50.396,0.0625,sales
Second Class,Home Office,United States,Philadelphia,Pennsylvania,19134.0,East,Technology,Phones,743.988,2.0,0.4,-123.998,-0.16666666666666666,sales
Standard Class,Consumer,United States,Aurora,Illinois,60505.0,Central,Technology,Phones,2003.168,4.0,0.2,250.396,0.125,sales
Standard Class,Consumer,United States,New York City,New York,10009.0,East,Furniture,Chairs,2563.056,8.0,0.1,313.2624,0.12222222222222223,sales
Standard Class,Corporate,United States,Mount Vernon,New York,10550.0,East,Office Supplies,Storage,1085.42,7.0,0.0,282.2092,0.26,sales
Standard Class,Consumer,United States,Columbus,Georgia,31907.0,South,Office Supplies,Storage,675.06,3.0,0.0,87.7578,0.13,sales
Second Class,Home Office,United States,Saint Charles,Illinois,60174.0,Central,Technology,Machines,600.53,2.0,0.3,137.264,0.2285714285714286,sales
Second Class,Home Office,United States,Saint Charles,Illinois,60174.0,Central,Technology,Accessories,637.44,8.0,0.2,135.456,0.21249999999999997,sales
Standard Class,Corporate,United States,Los Angeles,California,90036.0,West,Technology,Accessories,1649.95,5.0,0.0,659.98,0.4,sales
Standard Class,Consumer,United States,Columbus,Georgia,31907.0,South,Technology,Phones,2939.93,7.0,0.0,764.3818,0.26,sales
Standard Class,Home Office,United States,League City,Texas,77573.0,Central,Furniture,Chairs,512.358,3.0,0.3,-14.6388,-0.028571428571428574,sales
Second Class,Consumer,United States,El Paso,Texas,79907.0,Central,Furniture,Tables,913.43,5.0,0.3,-169.637,-0.18571428571428572,sales
Standard Class,Consumer,United States,Kissimmee,Florida,34741.0,South,Technology,Phones,751.984,2.0,0.2,84.5982,0.1125,sales
First Class,Home Office,United States,Seattle,Washington,98105.0,West,Technology,Phones,604.768,4.0,0.2,60.4768,0.09999999999999999,sales
Standard Class,Consumer,United States,Los Angeles,California,90049.0,West,Furniture,Tables,902.712,3.0,0.2,33.8517,0.0375,sales
Second Class,Consumer,United States,Franklin,Massachusetts,2038.0,East,Office Supplies,Appliances,901.95,3.0,0.0,297.6435,0.33,sales
Same Day,Corporate,United States,Burlington,North Carolina,27217.0,South,Furniture,Tables,630.024,4.0,0.4,-199.5076,-0.31666666666666665,sales
Standard Class,Consumer,United States,Dallas,Texas,75217.0,Central,Furniture,Tables,933.408,4.0,0.3,-173.3472,-0.1857142857142857,sales
Standard Class,Consumer,United States,Lakewood,New Jersey,8701.0,East,Furniture,Bookcases,2154.9,5.0,0.0,129.294,0.060000000000000005,sales
First Class,Corporate,United States,Cranston,Rhode Island,2920.0,East,Furniture,Tables,637.896,3.0,0.3,-127.5792,-0.2,sales
First Class,Consumer,United States,San Francisco,California,94122.0,West,Technology,Phones,1679.96,5.0,0.2,125.997,0.075,sales
Standard Class,Corporate,United States,Houston,Texas,77070.0,Central,Office Supplies,Storage,1554.936,3.0,0.2,77.7468,0.049999999999999996,sales
Standard Class,Corporate,United States,Noblesville,Indiana,46060.0,Central,Furniture,Tables,2678.94,6.0,0.0,241.1046,0.09,sales
Same Day,Corporate,United States,New York City,New York,10024.0,East,Technology,Machines,1035.8,4.0,0.0,269.308,0.26,sales
Second Class,Consumer,United States,Arlington,Virginia,22204.0,South,Technology,Machines,8749.95,5.0,0.0,2799.984,0.31999999999999995,sales
Standard Class,Corporate,United States,Chicago,Illinois,60623.0,Central,Technology,Copiers,719.976,3.0,0.2,134.9955,0.1875,sales
First Class,Consumer,United States,Springfield,Virginia,22153.0,South,Furniture,Tables,1056.86,7.0,0.0,158.529,0.15000000000000002,sales
Second Class,Corporate,United States,Milwaukee,Wisconsin,53209.0,Central,Furniture,Chairs,1454.9,5.0,0.0,378.274,0.26,sales
Standard Class,Corporate,United States,Hempstead,New York,11550.0,East,Office Supplies,Binders,968.744,7.0,0.2,314.8418,0.32499999999999996,sales
Standard Class,Consumer,United States,Houston,Texas,77041.0,Central,Technology,Machines,998.85,5.0,0.4,-199.77,-0.2,sales
Standard Class,Consumer,United States,Rochester,Minnesota,55901.0,Central,Furniture,Tables,607.52,2.0,0.0,97.2032,0.16,sales
Standard Class,Corporate,United States,Los Angeles,California,90049.0,West,Technology,Accessories,1287.45,5.0,0.0,244.6155,0.19,sales
Standard Class,Home Office,United States,Jacksonville,Florida,32216.0,South,Technology,Phones,499.168,4.0,0.2,31.198,0.0625,sales
First Class,Consumer,United States,Bethlehem,Pennsylvania,18018.0,East,Office Supplies,Binders,1369.764,6.0,0.7,-913.176,-0.6666666666666667,sales
First Class,Consumer,United States,Louisville,Kentucky,40214.0,South,Office Supplies,Storage,826.0,5.0,0.0,214.76,0.26,sales
Standard Class,Corporate,United States,Dallas,Texas,75217.0,Central,Office Supplies,Binders,760.98,5.0,0.8,-1141.47,-1.5,sales
Standard Class,Consumer,United States,Charlotte,North Carolina,28205.0,South,Office Supplies,Storage,704.76,5.0,0.2,26.4285,0.0375,sales
Standard Class,Consumer,United States,Fort Lauderdale,Florida,33311.0,South,Furniture,Bookcases,723.92,5.0,0.2,-81.441,-0.11250000000000002,sales
